,Item_ID,Store_ID,Item_Store_ID,Item_Weight,Item_Sugar_Content,Item_Visibility,Item_Type,Item_Price,Store_Start_Year,Store_Size,Store_Location_Type,Store_Type,Item_Store_Returns
12,DRA24,BABATUNJI049,DRA24_BABATUNJI049,19.35,Normal Sugar,0.039990314,Soft Drinks,412.72,2006,Medium,Cluster 1,Supermarket Type1,2456.8
13,DRA59,BABATUNJI017,DRA59_BABATUNJI017,8.27,Normal Sugar,0.0,Soft Drinks,458.23,2014,Medium,Cluster 2,Supermarket Type1,6015.5
14,DRA59,BABATUNJI018,DRA59_BABATUNJI018,8.27,Normal Sugar,0.128449055,Soft Drinks,466.48,2016,Medium,Cluster 3,Supermarket Type2,11105.54
15,DRA59,BABATUNJI019,DRA59_BABATUNJI019,12.909,Normal Sugar,0.223985293,Soft Drinks,465.73,1992,Small,Cluster 1,Grocery Store,1388.19
16,DRA59,BABATUNJI027,DRA59_BABATUNJI027,12.909,Normal Sugar,0.127308434,Soft Drinks,466.73,1992,Medium,Cluster 3,Supermarket Type3,17583.78
17,DRA59,BABATUNJI046,DRA59_BABATUNJI046,8.27,Normal Sugar,0.127927931,Soft Drinks,462.23,2004,Small,Cluster 1,Supermarket Type1,11105.54
18,DRA59,BABATUNJI049,DRA59_BABATUNJI049,8.27,Normal Sugar,0.128126825,Soft Drinks,459.23,2006,Medium,Cluster 1,Supermarket Type1,3239.12
19,DRB01,BABATUNJI027,DRB01_BABATUNJI027,12.909,Low Sugar,0.081841136,Soft Drinks,475.13,1992,Medium,Cluster 3,Supermarket Type3,1423.15
20,DRB01,BABATUNJI049,DRB01_BABATUNJI049,7.39,Low Sugar,0.082367244,Soft Drinks,469.38,2006,Medium,Cluster 1,Supermarket Type1,3795.06
21,DRB13,BABATUNJI017,DRB13_BABATUNJI017,6.115,Normal Sugar,0.007084185,Soft Drinks,477.88,2014,Medium,Cluster 2,Supermarket Type1,8538.89
22,DRB13,BABATUNJI035,DRB13_BABATUNJI035,6.115,Normal Sugar,0.007043008000000001,Soft Drinks,475.88,2011,Small,Cluster 2,Supermarket Type1,1423.15
23,DRB13,BABATUNJI049,DRB13_BABATUNJI049,6.115,Normal Sugar,0.0070552919999999995,Soft Drinks,471.63,2006,Medium,Cluster 1,Supermarket Type1,9013.27
24,DRB24,BABATUNJI017,DRB24_BABATUNJI017,8.785,Low Sugar,0.020693619,Soft Drinks,382.91,2014,Medium,Cluster 2,Supermarket Type1,4633.97
25,DRB24,BABATUNJI035,DRB24_BABATUNJI035,8.785,Low Sugar,0.020573334,Soft Drinks,391.16,2011,Small,Cluster 2,Supermarket Type1,5406.3
26,DRB24,BABATUNJI045,DRB24_BABATUNJI045,8.785,Low Sugar,0.020618957,Soft Drinks,382.66,2009,Medium,Cluster 2,Supermarket Type1,10426.43
27,DRB24,BABATUNJI049,DRB24_BABATUNJI049,8.785,Low Sugar,0.020609218000000002,Soft Drinks,387.91,2006,Medium,Cluster 1,Supermarket Type1,10040.26
28,DRB25,BABATUNJI010,DRB25_BABATUNJI010,12.3,Low Sugar,0.116261335,Soft Drinks,267.73,2005,Medium,Cluster 3,Grocery Store,535.97
29,DRB25,BABATUNJI013,DRB25_BABATUNJI013,12.3,Low Sugar,0.069401919,Soft Drinks,269.98,1994,High,Cluster 3,Supermarket Type1,5091.71
30,DRB25,BABATUNJI018,DRB25_BABATUNJI018,12.3,Low Sugar,0.069742672,Soft Drinks,265.73,2016,Medium,Cluster 3,Supermarket Type2,4287.75
31,DRB48,BABATUNJI010,DRB48_BABATUNJI010,16.75,Normal Sugar,0.041599644,Soft Drinks,102.46,2005,Medium,Cluster 3,Grocery Store,392.82
32,DRB48,BABATUNJI013,DRB48_BABATUNJI013,16.75,Normal Sugar,0.024832806000000002,Soft Drinks,96.96,1994,High,Cluster 3,Supermarket Type1,1669.49
33,DRC01,BABATUNJI013,DRC01_BABATUNJI013,5.92,Normal Sugar,0.019184026,Soft Drinks,125.92,1994,High,Cluster 3,Supermarket Type1,1478.08
34,DRC12,BABATUNJI017,DRC12_BABATUNJI017,17.85,Low Sugar,0.038040837,Soft Drinks,472.8,2014,Medium,Cluster 2,Supermarket Type1,8092.8
35,DRC12,BABATUNJI035,DRC12_BABATUNJI035,17.85,Low Sugar,0.03781972,Soft Drinks,479.05,2011,Small,Cluster 2,Supermarket Type1,6188.61
36,DRC12,BABATUNJI046,DRC12_BABATUNJI046,17.85,Low Sugar,0.037826873,Soft Drinks,474.3,2004,Small,Cluster 1,Supermarket Type1,5712.56
37,DRC12,BABATUNJI049,DRC12_BABATUNJI049,17.85,Low Sugar,0.037885682999999996,Soft Drinks,476.05,2006,Medium,Cluster 1,Supermarket Type1,2380.24
38,DRC13,BABATUNJI017,DRC13_BABATUNJI017,8.26,Normal Sugar,0.032625074,Soft Drinks,311.68,2014,Medium,Cluster 2,Supermarket Type1,4618.99
39,DRC13,BABATUNJI018,DRC13_BABATUNJI018,8.26,Normal Sugar,0.032573725,Soft Drinks,312.68,2016,Medium,Cluster 3,Supermarket Type2,2463.46
40,DRC24,BABATUNJI017,DRC24_BABATUNJI017,17.85,Low Sugar,0.024961677,Soft Drinks,383.0,2014,Medium,Cluster 2,Supermarket Type1,8458.99
41,DRC24,BABATUNJI018,DRC24_BABATUNJI018,17.85,Low Sugar,0.02492239,Soft Drinks,383.75,2016,Medium,Cluster 3,Supermarket Type2,7305.49
42,DRC25,BABATUNJI010,DRC25_BABATUNJI010,5.73,Low Sugar,0.075943184,Soft Drinks,213.97,2005,Medium,Cluster 3,Grocery Store,429.44
43,DRC25,BABATUNJI013,DRC25_BABATUNJI013,5.73,Low Sugar,0.045334097999999996,Soft Drinks,217.72,1994,High,Cluster 3,Supermarket Type1,4509.13
44,DRC27,BABATUNJI017,DRC27_BABATUNJI017,13.8,Low Sugar,0.05843112,Dairy,609.2,2014,Medium,Cluster 2,Supermarket Type1,4913.6
45,DRC27,BABATUNJI035,DRC27_BABATUNJI035,13.8,Low Sugar,0.058091482,Dairy,612.95,2011,Small,Cluster 2,Supermarket Type1,14126.61
46,DRC27,BABATUNJI045,DRC27_BABATUNJI045,13.8,Low Sugar,0.058220302,Dairy,618.7,2009,Medium,Cluster 2,Supermarket Type1,3685.2
47,DRC36,BABATUNJI017,DRC36_BABATUNJI017,13.0,Normal Sugar,0.045239325999999996,Soft Drinks,435.26,2014,Medium,Cluster 2,Supermarket Type1,10944.09
48,DRC36,BABATUNJI027,DRC36_BABATUNJI027,12.909,Normal Sugar,0.044767032000000005,Soft Drinks,434.26,1992,Medium,Cluster 3,Supermarket Type3,14446.2
49,DRC36,BABATUNJI035,DRC36_BABATUNJI035,13.0,Normal Sugar,0.044976367,Soft Drinks,440.51,2011,Small,Cluster 2,Supermarket Type1,3064.34
50,DRC36,BABATUNJI046,DRC36_BABATUNJI046,13.0,Normal Sugar,0.044984874,Soft Drinks,437.51,2004,Small,Cluster 1,Supermarket Type1,4815.4
51,DRC49,BABATUNJI027,DRC49_BABATUNJI027,12.909,Ultra Low Sugar,0.065119701,Soft Drinks,364.28,1992,Medium,Cluster 3,Supermarket Type3,10066.9
52,DRC49,BABATUNJI035,DRC49_BABATUNJI035,8.67,Low Sugar,0.065424208,Soft Drinks,364.53,2011,Small,Cluster 2,Supermarket Type1,6112.04
53,DRC49,BABATUNJI046,DRC49_BABATUNJI046,8.67,Low Sugar,0.065436581,Soft Drinks,357.28,2004,Small,Cluster 1,Supermarket Type1,5033.45
54,DRD12,BABATUNJI013,DRD12_BABATUNJI013,6.96,Low Sugar,0.077129323,Soft Drinks,231.79,1994,High,Cluster 3,Supermarket Type1,4332.69
55,DRD13,BABATUNJI013,DRD13_BABATUNJI013,15.0,Low Sugar,0.049038621,Soft Drinks,163.54,1994,High,Cluster 3,Supermarket Type1,4154.59
56,DRD15,BABATUNJI019,DRD15_BABATUNJI019,12.909,Low Sugar,0.09944232900000001,Dairy,582.91,1992,Small,Cluster 1,Grocery Store,1742.73
57,DRD15,BABATUNJI035,DRD15_BABATUNJI035,10.6,Low Sugar,0.056785182999999996,Dairy,579.91,2011,Small,Cluster 2,Supermarket Type1,5228.19
58,DRD15,BABATUNJI045,DRD15_BABATUNJI045,10.6,Low Sugar,0.056911107,Dairy,584.91,2009,Medium,Cluster 2,Supermarket Type1,9294.57
59,DRD24,BABATUNJI010,DRD24_BABATUNJI010,13.85,Low Sugar,0.051544658,Soft Drinks,356.29,2005,Medium,Cluster 3,Grocery Store,354.54
60,DRD24,BABATUNJI013,DRD24_BABATUNJI013,13.85,Low Sugar,0.030769458,Soft Drinks,354.29,1994,High,Cluster 3,Supermarket Type1,7445.31
61,DRD24,BABATUNJI017,DRD24_BABATUNJI017,13.85,Low Sugar,0.030969273999999998,Soft Drinks,352.29,2014,Medium,Cluster 2,Supermarket Type1,4254.46
62,DRD24,BABATUNJI018,DRD24_BABATUNJI018,13.85,Low Sugar,0.030920531,Soft Drinks,352.54,2016,Medium,Cluster 3,Supermarket Type2,4254.46
63,DRD24,BABATUNJI046,DRD24_BABATUNJI046,13.85,Low Sugar,0.030795085,Soft Drinks,358.29,2004,Small,Cluster 1,Supermarket Type1,4963.54
64,DRD24,BABATUNJI049,DRD24_BABATUNJI049,13.85,Low Sugar,0.030842962999999998,Soft Drinks,357.79,2006,Medium,Cluster 1,Supermarket Type1,6381.69
65,DRD25,BABATUNJI010,DRD25_BABATUNJI010,6.135,Low Sugar,0.132183029,Soft Drinks,287.72,2005,Medium,Cluster 3,Grocery Store,1131.86
66,DRD25,BABATUNJI018,DRD25_BABATUNJI018,6.135,Ultra Low Sugar,0.079293753,Soft Drinks,278.22,2016,Medium,Cluster 3,Supermarket Type2,5659.3
67,DRD25,BABATUNJI019,DRD25_BABATUNJI019,12.909,Low Sugar,0.13826987300000002,Soft Drinks,279.22,1992,Small,Cluster 1,Grocery Store,1131.86
68,DRD25,BABATUNJI046,DRD25_BABATUNJI046,6.135,Low Sugar,0.0,Soft Drinks,285.72,2004,Small,Cluster 1,Supermarket Type1,5942.27
69,DRD25,BABATUNJI049,DRD25_BABATUNJI049,6.135,Low Sugar,0.079094835,Soft Drinks,285.97,2006,Medium,Cluster 1,Supermarket Type1,2546.69
70,DRD27,BABATUNJI013,DRD27_BABATUNJI013,18.75,Low Sugar,0.023820082000000003,Dairy,244.01,1994,High,Cluster 3,Supermarket Type1,3720.16
71,DRD27,BABATUNJI049,DRD27_BABATUNJI049,18.75,Low Sugar,0.023876985,Dairy,243.51,2006,Medium,Cluster 1,Supermarket Type1,5704.24
72,DRD37,BABATUNJI010,DRD37_BABATUNJI010,9.8,Ultra Low Sugar,0.02316823,Soft Drinks,118.77,2005,Medium,Cluster 3,Grocery Store,466.06
73,DRD37,BABATUNJI013,DRD37_BABATUNJI013,9.8,Low Sugar,0.013830218,Soft Drinks,113.27,1994,High,Cluster 3,Supermarket Type1,3262.42
74,DRD49,BABATUNJI017,DRD49_BABATUNJI017,9.895,Low Sugar,0.168780385,Soft Drinks,592.14,2014,Medium,Cluster 2,Supermarket Type1,11917.82
75,DRD49,BABATUNJI035,DRD49_BABATUNJI035,9.895,Low Sugar,0.167799329,Soft Drinks,598.64,2011,Small,Cluster 2,Supermarket Type1,13109.6
76,DRD49,BABATUNJI045,DRD49_BABATUNJI045,9.895,Low Sugar,0.16817143,Soft Drinks,594.39,2009,Medium,Cluster 2,Supermarket Type1,9534.26
77,DRD60,BABATUNJI018,DRD60_BABATUNJI018,15.7,Ultra Low Sugar,0.037383778,Soft Drinks,449.41,2016,Medium,Cluster 3,Supermarket Type2,4544.09
78,DRD60,BABATUNJI019,DRD60_BABATUNJI019,12.909,Low Sugar,0.065188619,Soft Drinks,452.91,1992,Small,Cluster 1,Grocery Store,454.41
79,DRD60,BABATUNJI035,DRD60_BABATUNJI035,15.7,Low Sugar,0.03722507,Soft Drinks,456.16,2011,Small,Cluster 2,Supermarket Type1,4998.49
80,DRD60,BABATUNJI046,DRD60_BABATUNJI046,15.7,Low Sugar,0.03723211,Soft Drinks,457.91,2004,Small,Cluster 1,Supermarket Type1,14086.66
81,DRD60,BABATUNJI049,DRD60_BABATUNJI049,15.7,Low Sugar,0.037289996,Soft Drinks,456.91,2006,Medium,Cluster 1,Supermarket Type1,8633.76
82,DRE03,BABATUNJI010,DRE03_BABATUNJI010,19.6,Low Sugar,0.040550868,Dairy,113.93,2005,Medium,Cluster 3,Grocery Store,118.18
83,DRE12,BABATUNJI013,DRE12_BABATUNJI013,4.59,Low Sugar,0.070721656,Soft Drinks,283.22,1994,High,Cluster 3,Supermarket Type1,3678.55
84,DRE12,BABATUNJI046,DRE12_BABATUNJI046,4.59,Low Sugar,0.070780558,Soft Drinks,286.47,2004,Small,Cluster 1,Supermarket Type1,3112.62
85,DRE12,BABATUNJI049,DRE12_BABATUNJI049,4.59,Low Sugar,0.070890602,Soft Drinks,279.22,2006,Medium,Cluster 1,Supermarket Type1,3961.51
86,DRE13,BABATUNJI013,DRE13_BABATUNJI013,6.28,Low Sugar,0.027682047,Soft Drinks,213.8,1994,High,Cluster 3,Supermarket Type1,4360.99
87,DRE25,BABATUNJI046,DRE25_BABATUNJI046,15.35,Low Sugar,0.073283193,Soft Drinks,229.53,2004,Small,Cluster 1,Supermarket Type1,4427.57
88,DRE25,BABATUNJI049,DRE25_BABATUNJI049,15.35,Low Sugar,0.073397129,Soft Drinks,229.78,2006,Medium,Cluster 1,Supermarket Type1,6524.84
89,DRE27,BABATUNJI010,DRE27_BABATUNJI010,11.85,Low Sugar,0.22206335100000002,Dairy,249.18,2005,Medium,Cluster 3,Grocery Store,489.36
90,DRE27,BABATUNJI013,DRE27_BABATUNJI013,11.85,Low Sugar,0.132560174,Dairy,243.18,1994,High,Cluster 3,Supermarket Type1,1957.45
91,DRE27,BABATUNJI046,DRE27_BABATUNJI046,11.85,Low Sugar,0.13267058,Dairy,241.18,2004,Small,Cluster 1,Supermarket Type1,2446.82
92,DRE27,BABATUNJI049,DRE27_BABATUNJI049,11.85,Low Sugar,0.132876847,Dairy,245.18,2006,Medium,Cluster 1,Supermarket Type1,2691.5
93,DRE37,BABATUNJI018,DRE37_BABATUNJI018,13.5,Ultra Low Sugar,0.094603404,Soft Drinks,467.72,2016,Medium,Cluster 3,Supermarket Type2,8036.21
94,DRE37,BABATUNJI019,DRE37_BABATUNJI019,12.909,Low Sugar,0.164966345,Soft Drinks,473.72,1992,Small,Cluster 1,Grocery Store,472.72
95,DRE37,BABATUNJI035,DRE37_BABATUNJI035,13.5,Low Sugar,0.0,Soft Drinks,472.97,2011,Small,Cluster 2,Supermarket Type1,4727.18
96,DRE37,BABATUNJI046,DRE37_BABATUNJI046,13.5,Low Sugar,0.094219593,Soft Drinks,474.97,2004,Small,Cluster 1,Supermarket Type1,3309.03
97,DRE37,BABATUNJI049,DRE37_BABATUNJI049,13.5,Low Sugar,0.094366079,Soft Drinks,477.47,2006,Medium,Cluster 1,Supermarket Type1,7090.77
98,DRE48,BABATUNJI017,DRE48_BABATUNJI017,8.43,Low Sugar,0.0,Soft Drinks,488.44,2014,Medium,Cluster 2,Supermarket Type1,3941.54
99,DRE48,BABATUNJI018,DRE48_BABATUNJI018,8.43,Low Sugar,0.017396308,Soft Drinks,490.19,2016,Medium,Cluster 3,Supermarket Type2,10346.53
100,DRE48,BABATUNJI027,DRE48_BABATUNJI027,12.909,Low Sugar,0.01724183,Soft Drinks,492.69,1992,Medium,Cluster 3,Supermarket Type3,22171.14
101,DRE48,BABATUNJI035,DRE48_BABATUNJI035,8.43,Ultra Low Sugar,0.017322453999999998,Soft Drinks,492.19,2011,Small,Cluster 2,Supermarket Type1,8375.76
102,DRE48,BABATUNJI045,DRE48_BABATUNJI045,8.43,Low Sugar,0.017360867,Soft Drinks,490.69,2009,Medium,Cluster 2,Supermarket Type1,3941.54
103,DRE49,BABATUNJI010,DRE49_BABATUNJI010,20.75,Low Sugar,0.035568147,Soft Drinks,379.51,2005,Medium,Cluster 3,Grocery Store,379.51
104,DRE49,BABATUNJI013,DRE49_BABATUNJI013,20.75,Low Sugar,0.021232317999999997,Soft Drinks,377.76,1994,High,Cluster 3,Supermarket Type1,6072.1
105,DRE49,BABATUNJI017,DRE49_BABATUNJI017,20.75,Low Sugar,0.021370201000000002,Soft Drinks,382.51,2014,Medium,Cluster 2,Supermarket Type1,5692.59
106,DRE49,BABATUNJI018,DRE49_BABATUNJI018,20.75,Low Sugar,0.021336565,Soft Drinks,384.01,2016,Medium,Cluster 3,Supermarket Type2,3415.55
107,DRE49,BABATUNJI027,DRE49_BABATUNJI027,12.909,Low Sugar,0.0,Soft Drinks,384.51,1992,Medium,Cluster 3,Supermarket Type3,19354.81
108,DRE49,BABATUNJI035,DRE49_BABATUNJI035,20.75,Low Sugar,0.0,Soft Drinks,382.51,2011,Small,Cluster 2,Supermarket Type1,6072.1
109,DRE49,BABATUNJI045,DRE49_BABATUNJI045,20.75,Low Sugar,0.021293097,Soft Drinks,379.76,2009,Medium,Cluster 2,Supermarket Type1,6831.11
110,DRE49,BABATUNJI046,DRE49_BABATUNJI046,20.75,Ultra Low Sugar,0.021250002,Soft Drinks,376.26,2004,Small,Cluster 1,Supermarket Type1,6451.6
111,DRE49,BABATUNJI049,DRE49_BABATUNJI049,20.75,Low Sugar,0.02128304,Soft Drinks,383.76,2006,Medium,Cluster 1,Supermarket Type1,6072.1
112,DRE60,BABATUNJI017,DRE60_BABATUNJI017,9.395,Low Sugar,0.160235723,Soft Drinks,569.68,2014,Medium,Cluster 2,Supermarket Type1,3961.51
113,DRE60,BABATUNJI019,DRE60_BABATUNJI019,12.909,Low Sugar,0.278974075,Soft Drinks,563.43,1992,Small,Cluster 1,Grocery Store,1697.79
114,DRE60,BABATUNJI035,DRE60_BABATUNJI035,9.395,Low Sugar,0.15930433300000002,Soft Drinks,565.43,2011,Small,Cluster 2,Supermarket Type1,9620.81
115,DRE60,BABATUNJI045,DRE60_BABATUNJI045,9.395,Low Sugar,0.15965759599999998,Soft Drinks,562.43,2009,Medium,Cluster 2,Supermarket Type1,19241.62
116,DRE60,BABATUNJI049,DRE60_BABATUNJI049,9.395,Low Sugar,0.159582185,Soft Drinks,561.93,2006,Medium,Cluster 1,Supermarket Type1,17543.83
117,DRF01,BABATUNJI013,DRF01_BABATUNJI013,5.655,Low Sugar,0.174934513,Soft Drinks,362.53,1994,High,Cluster 3,Supermarket Type1,4738.83
118,DRF01,BABATUNJI017,DRF01_BABATUNJI017,5.655,Ultra Low Sugar,0.176070535,Soft Drinks,360.03,2014,Medium,Cluster 2,Supermarket Type1,4374.31
119,DRF01,BABATUNJI018,DRF01_BABATUNJI018,5.655,Low Sugar,0.175793413,Soft Drinks,367.28,2016,Medium,Cluster 3,Supermarket Type2,4374.31
120,DRF01,BABATUNJI019,DRF01_BABATUNJI019,12.909,Low Sugar,0.30654284800000003,Soft Drinks,368.28,1992,Small,Cluster 1,Grocery Store,729.05
121,DRF01,BABATUNJI027,DRF01_BABATUNJI027,12.909,Low Sugar,0.174232377,Soft Drinks,366.53,1992,Medium,Cluster 3,Supermarket Type3,4738.83
122,DRF01,BABATUNJI035,DRF01_BABATUNJI035,5.655,Ultra Low Sugar,0.17504710399999998,Soft Drinks,367.28,2011,Small,Cluster 2,Supermarket Type1,4738.83
123,DRF01,BABATUNJI046,DRF01_BABATUNJI046,5.655,Low Sugar,0.0,Soft Drinks,368.78,2004,Small,Cluster 1,Supermarket Type1,2916.2
124,DRF01,BABATUNJI049,DRF01_BABATUNJI049,5.655,Low Sugar,0.175352413,Soft Drinks,368.53,2006,Medium,Cluster 1,Supermarket Type1,6196.93
125,DRF03,BABATUNJI010,DRF03_BABATUNJI010,19.1,Low Sugar,0.075836522,Dairy,100.53,2005,Medium,Cluster 3,Grocery Store,203.07
126,DRF03,BABATUNJI013,DRF03_BABATUNJI013,19.1,Low Sugar,0.045270425999999996,Dairy,97.03,1994,High,Cluster 3,Supermarket Type1,1827.62
127,DRF13,BABATUNJI013,DRF13_BABATUNJI013,12.1,Low Sugar,0.0,Soft Drinks,362.86,1994,High,Cluster 3,Supermarket Type1,8345.8
128,DRF13,BABATUNJI017,DRF13_BABATUNJI017,12.1,Low Sugar,0.029949818,Soft Drinks,365.86,2014,Medium,Cluster 2,Supermarket Type1,9434.39
129,DRF13,BABATUNJI018,DRF13_BABATUNJI018,12.1,Low Sugar,0.029902678999999998,Soft Drinks,360.86,2016,Medium,Cluster 3,Supermarket Type2,2902.89
130,DRF13,BABATUNJI045,DRF13_BABATUNJI045,12.1,Low Sugar,0.02984176,Soft Drinks,361.11,2009,Medium,Cluster 2,Supermarket Type1,9071.53
131,DRF13,BABATUNJI046,DRF13_BABATUNJI046,12.1,Low Sugar,0.029781362999999998,Soft Drinks,367.36,2004,Small,Cluster 1,Supermarket Type1,3991.47
132,DRF13,BABATUNJI049,DRF13_BABATUNJI049,12.1,Low Sugar,0.029827665,Soft Drinks,360.86,2006,Medium,Cluster 1,Supermarket Type1,6531.5
133,DRF15,BABATUNJI013,DRF15_BABATUNJI013,18.35,Ultra Low Sugar,0.0,Dairy,379.84,1994,High,Cluster 3,Supermarket Type1,765.67
134,DRF15,BABATUNJI018,DRF15_BABATUNJI018,18.35,Low Sugar,0.03334929,Dairy,387.59,2016,Medium,Cluster 3,Supermarket Type2,4976.86
135,DRF15,BABATUNJI019,DRF15_BABATUNJI019,12.909,Low Sugar,0.058153409,Dairy,380.09,1992,Small,Cluster 1,Grocery Store,765.67
136,DRF15,BABATUNJI046,DRF15_BABATUNJI046,18.35,Low Sugar,0.03321399,Dairy,387.34,2004,Small,Cluster 1,Supermarket Type1,3062.68
137,DRF23,BABATUNJI010,DRF23_BABATUNJI010,4.61,Low Sugar,0.20529482699999999,Hard Drinks,432.1,2005,Medium,Cluster 3,Grocery Store,436.1
138,DRF23,BABATUNJI017,DRF23_BABATUNJI017,4.61,Low Sugar,0.123346085,Hard Drinks,431.35,2014,Medium,Cluster 2,Supermarket Type1,9158.08
139,DRF23,BABATUNJI018,DRF23_BABATUNJI018,4.61,Low Sugar,0.123151947,Hard Drinks,438.1,2016,Medium,Cluster 3,Supermarket Type2,5233.19
140,DRF23,BABATUNJI027,DRF23_BABATUNJI027,12.909,Low Sugar,0.122058364,Hard Drinks,432.1,1992,Medium,Cluster 3,Supermarket Type3,17880.06
141,DRF23,BABATUNJI035,DRF23_BABATUNJI035,4.61,Low Sugar,0.122629121,Hard Drinks,438.6,2011,Small,Cluster 2,Supermarket Type1,6541.49
142,DRF23,BABATUNJI045,DRF23_BABATUNJI045,4.61,Low Sugar,0.122901056,Hard Drinks,436.1,2009,Medium,Cluster 2,Supermarket Type1,6541.49
143,DRF23,BABATUNJI046,DRF23_BABATUNJI046,4.61,Low Sugar,0.0,Hard Drinks,434.6,2004,Small,Cluster 1,Supermarket Type1,3052.69
144,DRF23,BABATUNJI049,DRF23_BABATUNJI049,4.61,Low Sugar,0.122843005,Hard Drinks,431.1,2006,Medium,Cluster 1,Supermarket Type1,3924.89
145,DRF25,BABATUNJI013,DRF25_BABATUNJI013,9.0,Low Sugar,0.038892859,Soft Drinks,90.3,1994,High,Cluster 3,Supermarket Type1,2746.43
146,DRF27,BABATUNJI013,DRF27_BABATUNJI013,8.93,Low Sugar,0.028393624,Dairy,383.59,1994,High,Cluster 3,Supermarket Type1,3445.52
147,DRF27,BABATUNJI017,DRF27_BABATUNJI017,8.93,Low Sugar,0.028578012000000003,Dairy,380.59,2014,Medium,Cluster 2,Supermarket Type1,9570.88
148,DRF27,BABATUNJI018,DRF27_BABATUNJI018,8.93,Low Sugar,0.028533032000000003,Dairy,378.59,2016,Medium,Cluster 3,Supermarket Type2,3062.68
149,DRF27,BABATUNJI019,DRF27_BABATUNJI019,12.909,Low Sugar,0.049754975,Dairy,380.34,1992,Small,Cluster 1,Grocery Store,382.84
150,DRF27,BABATUNJI027,DRF27_BABATUNJI027,12.909,Low Sugar,0.02827966,Dairy,380.59,1992,Medium,Cluster 3,Supermarket Type3,2679.85
151,DRF27,BABATUNJI035,DRF27_BABATUNJI035,8.93,Low Sugar,0.028411898999999997,Dairy,380.84,2011,Small,Cluster 2,Supermarket Type1,5359.69
152,DRF27,BABATUNJI046,DRF27_BABATUNJI046,8.93,Low Sugar,0.028417272,Dairy,386.34,2004,Small,Cluster 1,Supermarket Type1,6508.2
153,DRF27,BABATUNJI049,DRF27_BABATUNJI049,8.93,Low Sugar,0.028461452999999998,Dairy,380.59,2006,Medium,Cluster 1,Supermarket Type1,12633.56
154,DRF36,BABATUNJI018,DRF36_BABATUNJI018,16.1,Low Sugar,0.023673342000000003,Soft Drinks,472.71,2016,Medium,Cluster 3,Supermarket Type2,13375.92
155,DRF36,BABATUNJI027,DRF36_BABATUNJI027,12.909,Low Sugar,0.023463124,Soft Drinks,476.71,1992,Medium,Cluster 3,Supermarket Type3,23885.58
156,DRF36,BABATUNJI045,DRF36_BABATUNJI045,16.1,Ultra Low Sugar,0.023625114,Soft Drinks,473.46,2009,Medium,Cluster 2,Supermarket Type1,9076.52
157,DRF36,BABATUNJI046,DRF36_BABATUNJI046,16.1,Low Sugar,0.023577297999999997,Soft Drinks,481.71,2004,Small,Cluster 1,Supermarket Type1,7165.67
158,DRF36,BABATUNJI049,DRF36_BABATUNJI049,16.1,Low Sugar,0.023613955,Soft Drinks,482.21,2006,Medium,Cluster 1,Supermarket Type1,13375.92
